date,price
Sun Jan 14 21:04:09 2018,1338.19
Sun Jan 14 20:59:09 2018,1339.42
Sun Jan 14 20:54:08 2018,1340.23
Sun Jan 14 20:49:10 2018,1335.58
Sun Jan 14 20:44:08 2018,1335.66
Sun Jan 14 20:39:10 2018,1339.67
Sun Jan 14 20:34:09 2018,1340.55
Sun Jan 14 20:29:10 2018,1346.22
Sun Jan 14 20:24:09 2018,1351.31
Sun Jan 14 20:19:10 2018,1358.45
Sun Jan 14 20:14:10 2018,1356.3
Sun Jan 14 20:09:09 2018,1356.45
Sun Jan 14 20:04:09 2018,1355.91
Sun Jan 14 19:59:09 2018,1359.73
Sun Jan 14 19:54:09 2018,1361.37
Sun Jan 14 19:49:09 2018,1362.07
Sun Jan 14 19:44:09 2018,1362.8
Sun Jan 14 19:39:10 2018,1359.19
Sun Jan 14 19:34:10 2018,1350.48
Sun Jan 14 19:29:09 2018,1350.21
Sun Jan 14 19:24:09 2018,1354.72
Sun Jan 14 19:19:10 2018,1350.49
Sun Jan 14 19:14:09 2018,1348.58
Sun Jan 14 19:09:10 2018,1350.46
Sun Jan 14 19:04:10 2018,1349.03
Sun Jan 14 18:59:10 2018,1347.63
Sun Jan 14 18:54:10 2018,1345.72
Sun Jan 14 18:49:09 2018,1345.16
Sun Jan 14 18:44:10 2018,1345.63
Sun Jan 14 18:39:10 2018,1346.12
Sun Jan 14 18:34:10 2018,1344.74
Sun Jan 14 18:29:09 2018,1343.46
Sun Jan 14 18:24:09 2018,1343.39
Sun Jan 14 18:19:09 2018,1344.63
Sun Jan 14 18:14:10 2018,1352.23
Sun Jan 14 18:09:09 2018,1358.55
Sun Jan 14 18:04:09 2018,1365.6
Sun Jan 14 17:59:10 2018,1364.35
Sun Jan 14 17:54:09 2018,1365.61
Sun Jan 14 17:49:10 2018,1370.99
Sun Jan 14 17:44:10 2018,1375.68
Sun Jan 14 17:39:09 2018,1376.98
Sun Jan 14 17:34:09 2018,1374.68
Sun Jan 14 17:29:09 2018,1373.28
Sun Jan 14 17:24:09 2018,1370.18
Sun Jan 14 17:19:09 2018,1367.04
Sun Jan 14 17:14:09 2018,1365.7
