date,price,buy_volume,sell_volume,sum_buy,sum_sell,sum_volume
Sun Jan 14 23:39:22 2018,13681.8,0,0,0,0,0
Sun Jan 14 23:34:21 2018,13629.7,0,1,0,13629.7,-1
Sun Jan 14 23:29:22 2018,13640.3,0,0,0,0,1
Sun Jan 14 23:24:21 2018,13671.0,0,0,0,0,0
Sun Jan 14 23:19:21 2018,13707.9,0,0,0,0,0
Sun Jan 14 23:14:22 2018,13698.5,0,0,0,0,0
Sun Jan 14 23:09:21 2018,13742.1,0,0,0,0,0
Sun Jan 14 23:04:21 2018,13743.4,1,0,13743.4,0,1
Sun Jan 14 22:59:21 2018,13725.9,0,0,0,0,0
Sun Jan 14 22:54:22 2018,13658.3,0,0,0,0,0
Sun Jan 14 22:49:21 2018,13638.7,0,1,0,13638.7,-1
Sun Jan 14 22:44:21 2018,13639.8,0,0,0,0,1
Sun Jan 14 22:39:21 2018,13642.8,0,0,0,0,0
Sun Jan 14 22:34:21 2018,13645.3,1,0,13645.3,0,1
Sun Jan 14 22:29:21 2018,13592.3,1,0,13592.3,0,1
Sun Jan 14 22:24:21 2018,13576.1,1,0,13576.1,0,1
Sun Jan 14 22:19:21 2018,13542.8,0,0,0,0,0
Sun Jan 14 22:14:19 2018,13474.7,0,0,0,0,0
Sun Jan 14 22:09:21 2018,13423.6,0,0,0,0,0
Sun Jan 14 22:04:21 2018,13474.0,0,0,0,0,0
Sun Jan 14 21:59:22 2018,13476.2,0,0,0,0,0
Sun Jan 14 21:54:21 2018,13435.0,0,1,0,13435.0,-1
Sun Jan 14 21:49:21 2018,13444.0,0,1,0,13444.0,0
Sun Jan 14 21:44:21 2018,13500.7,0,0,0,0,1
Sun Jan 14 21:39:20 2018,13528.3,0,0,0,0,0
Sun Jan 14 21:34:21 2018,13544.5,0,0,0,0,0
Sun Jan 14 21:29:21 2018,13524.5,0,0,0,0,0
Sun Jan 14 21:24:21 2018,13524.4,0,1,0,13524.4,-1
Sun Jan 14 21:19:22 2018,13538.5,0,1,0,13538.5,0
Sun Jan 14 21:14:22 2018,13633.3,0,1,0,13633.3,0
Sun Jan 14 21:09:21 2018,13657.2,0,1,0,13657.2,0
Sun Jan 14 21:04:21 2018,13698.4,0,0,0,0,1
